,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
348,4.0,1.0,1.0,1.0,35.677657,139.70669,1.0,0.0,0.0,82
350,5.0,1.0,1.5,2.0,35.700011,139.709152,0.0,1.0,0.0,40
351,1.0,1.0,1.0,2.0,35.659182,139.610214,0.0,1.0,0.0,28
352,3.0,1.0,1.0,0.0,35.754923,139.719454,1.0,0.0,0.0,47
355,5.0,2.0,1.0,1.0,35.681826,139.703661,1.0,0.0,0.0,86
356,4.0,0.0,1.0,1.0,35.690252,139.814127,1.0,0.0,0.0,73
357,3.0,1.0,1.0,1.0,35.732541,139.732062,1.0,0.0,0.0,52
358,1.0,1.0,1.0,2.0,35.598396,139.709934,0.0,0.0,1.0,27
360,2.0,1.0,1.0,1.0,35.584236,139.683935,0.0,1.0,0.0,52
361,2.0,1.0,1.0,1.0,35.670487,139.712961,1.0,0.0,0.0,86
362,2.0,1.0,1.0,1.0,35.655155,139.706099,1.0,0.0,0.0,95
363,4.0,1.0,1.0,2.0,35.697166,139.694961,1.0,0.0,0.0,106
364,2.0,0.0,1.0,2.0,35.588893,139.691275,1.0,0.0,0.0,40
365,4.0,1.0,1.0,1.0,35.756893,139.760809,0.0,0.0,1.0,52
366,2.0,1.0,1.0,7.0,35.703275,139.665197,0.0,1.0,0.0,51
367,2.0,1.0,1.0,7.0,35.703483,139.663933,0.0,1.0,0.0,51
369,3.0,2.0,2.0,2.0,35.650354,139.706829,1.0,0.0,0.0,77
370,1.0,1.0,1.0,2.0,35.702417,139.687548,0.0,1.0,0.0,53
372,5.0,1.0,1.0,2.0,35.680972,139.6936,1.0,0.0,0.0,108
373,3.0,0.0,1.0,1.0,35.65023,139.690523,1.0,0.0,0.0,70
375,3.0,1.0,1.0,1.0,35.70213,139.679925,1.0,0.0,0.0,58
376,3.0,1.0,1.0,2.0,35.662596,139.693841,1.0,0.0,0.0,82
377,4.0,1.0,1.0,3.0,35.70293,139.697087,1.0,0.0,0.0,73
378,5.0,1.0,1.0,3.0,35.736089,139.724371,1.0,0.0,0.0,85
379,4.0,2.0,1.0,0.0,35.708616,139.668428,1.0,0.0,0.0,112
380,4.0,2.0,1.5,7.0,35.731238,139.729678,1.0,0.0,0.0,116
381,1.0,1.0,1.0,25.0,35.73082,139.729026,0.0,1.0,0.0,50
383,1.0,1.0,1.0,2.0,35.655342,139.692641,0.0,1.0,0.0,65
384,2.0,1.0,2.0,0.0,35.739627,139.853717,0.0,1.0,0.0,43
385,4.0,1.0,1.0,2.0,35.653853,139.712738,1.0,0.0,0.0,78
387,3.0,2.0,1.0,2.0,35.694464,139.706672,1.0,0.0,0.0,64
388,4.0,1.0,1.0,1.0,35.658143,139.695966,1.0,0.0,0.0,70
389,1.0,1.0,3.0,1.0,35.697404,139.706123,0.0,1.0,0.0,39
391,2.0,1.0,1.0,0.0,35.693088,139.710769,0.0,1.0,0.0,40
392,3.0,1.0,0.0,3.0,35.602927,139.667338,1.0,0.0,0.0,82
393,5.0,0.0,1.0,2.0,35.690438,139.70868,1.0,0.0,0.0,86
394,2.0,1.0,1.0,5.0,35.676759,139.706448,1.0,0.0,0.0,72
395,2.0,1.0,1.0,3.0,35.649768,139.690391,1.0,0.0,0.0,60
396,4.0,1.0,1.0,0.0,35.662453,139.661812,1.0,0.0,0.0,60
398,2.0,0.0,1.0,1.0,35.660783,139.665201,1.0,0.0,0.0,65
399,2.0,1.0,1.0,4.0,35.665304,139.782905,0.0,1.0,0.0,103
400,4.0,1.0,1.0,2.0,35.659557,139.693654,1.0,0.0,0.0,55
403,4.0,1.0,1.0,0.0,35.677684,139.740569,1.0,0.0,0.0,97
404,3.0,1.0,1.0,1.0,35.668907,139.729711,1.0,0.0,0.0,70
407,2.0,1.0,3.0,1.0,35.695775,139.705864,0.0,1.0,0.0,39
408,2.0,1.0,1.0,2.0,35.668783,139.728932,1.0,0.0,0.0,74
409,4.0,1.0,1.0,1.0,35.663983,139.736652,1.0,0.0,0.0,80
410,5.0,1.0,1.0,0.0,35.647593,139.713474,1.0,0.0,0.0,95
411,5.0,1.0,1.0,0.0,35.645869,139.710756,1.0,0.0,0.0,99
412,2.0,1.0,1.0,3.0,35.652511,139.739018,0.0,1.0,0.0,69
413,5.0,3.0,1.0,0.0,35.664856,139.665301,1.0,0.0,0.0,134
414,3.0,1.0,1.0,1.0,35.669731,139.720557,1.0,0.0,0.0,78
415,4.0,1.0,0.0,1.0,35.670128,139.731252,1.0,0.0,0.0,70
416,2.0,1.0,1.0,1.0,35.688545,139.597683,0.0,1.0,0.0,56
417,4.0,0.0,1.0,1.0,35.670554,139.767644,1.0,0.0,0.0,98
418,3.0,1.0,1.0,4.0,35.633926,139.659565,0.0,1.0,0.0,52
420,4.0,1.0,1.0,0.0,35.657484,139.697317,1.0,0.0,0.0,78
421,2.0,0.0,1.0,2.0,35.645914,139.709272,1.0,0.0,0.0,53
422,3.0,1.0,1.0,2.0,35.653422,139.702809,1.0,0.0,0.0,73
423,4.0,1.0,1.0,2.0,35.656602,139.697397,1.0,0.0,0.0,103
424,5.0,1.0,1.0,2.0,35.641842,139.752259,1.0,0.0,0.0,200
425,3.0,1.0,3.0,1.0,35.696091,139.705924,0.0,1.0,0.0,38
426,1.0,1.0,2.0,2.0,35.70747,139.726064,0.0,1.0,0.0,25
427,1.0,1.0,1.0,2.0,35.69137,139.676559,0.0,1.0,0.0,32
428,4.0,1.0,1.0,2.0,35.638087,139.66822,1.0,0.0,0.0,69
429,5.0,1.0,1.0,1.0,35.65134,139.734039,1.0,0.0,0.0,90
430,4.0,1.0,1.0,0.0,35.65159,139.683474,1.0,0.0,0.0,65
