,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
159,2012-06-30,Denmark,55.6966623810447,12.557331163981573,5.0,1.0,2.0,6.0,993.0,400.0,4.0,250.0,6.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6
162,2012-06-17,Denmark,55.693041153258434,12.54119702204463,3.0,1.5,1.0,1.0,477.0,225.0,2.0,200.0,1.0,90.0,280.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
165,2014-07-10,Denmark,55.69598779159772,12.54630382923707,3.0,2.0,1.0,2.0,351.0,0.0,1.0,50.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
166,2015-12-15,Denmark,55.69683898066442,12.539918336664773,2.0,1.0,1.0,1.0,338.0,0.0,1.0,0.0,1.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
167,2015-07-31,Denmark,55.70456233605154,12.54530582293645,2.0,1.0,1.0,1.0,298.0,97.0,1.0,45.0,1.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
168,2015-07-24,Denmark,55.69119470769032,12.562577885338833,2.0,1.0,1.0,1.0,603.0,200.0,2.0,0.0,4.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
169,2012-04-30,Denmark,55.68758692832604,12.559305049587955,6.0,1.0,2.0,5.0,748.0,0.0,4.0,0.0,7.0,120.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4
170,2011-06-18,Denmark,55.69129187803263,12.545558790433672,2.0,1.0,1.0,1.0,497.0,100.0,1.0,0.0,3.0,31.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6
171,2015-09-16,Denmark,55.699653253691714,12.546562937324175,4.0,1.0,2.0,2.0,748.0,0.0,1.0,0.0,3.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,9
172,2013-01-19,Denmark,55.68931946792028,12.56295144429498,3.0,1.0,2.0,2.0,987.0,595.0,3.0,521.0,3.0,60.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
173,2015-08-30,Denmark,55.70277213683861,12.545905868115304,6.0,1.0,2.0,2.0,748.0,0.0,1.0,0.0,2.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
174,2014-02-16,Denmark,55.69707788316395,12.557181969778767,2.0,1.0,1.0,1.0,497.0,0.0,1.0,0.0,3.0,112.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,2
175,2015-01-07,Denmark,55.6869229400423,12.5536333670267,2.0,1.0,1.0,1.0,490.0,125.0,2.0,60.0,2.0,1125.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
176,2015-04-05,Denmark,55.693011174718414,12.55862906206563,2.0,1.0,1.0,1.0,589.0,500.0,2.0,0.0,5.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
