,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
258,6,1.0,1.0,2.0,37.556675,126.923098,0.0,0.0,1.0,13
259,2,1.0,1.0,2.0,37.524508,126.998317,1.0,0.0,0.0,30
260,2,1.0,1.0,2.0,37.518848,127.024585,0.0,1.0,0.0,55
261,2,1.0,1.0,3.0,37.576183,126.97333,1.0,0.0,0.0,105
262,5,1.0,1.0,1.0,37.581628,126.987295,0.0,1.0,0.0,95
263,2,1.0,1.0,1.0,37.582436,126.987096,0.0,1.0,0.0,55
265,14,5.0,5.0,1.0,37.558525,126.986417,1.0,0.0,0.0,155
266,10,1.0,1.0,1.0,37.551495,126.928654,0.0,0.0,1.0,22
267,2,1.0,1.0,2.0,37.553658,126.928116,0.0,1.0,0.0,42
268,2,1.0,1.0,2.0,37.554361,126.927493,0.0,1.0,0.0,42
269,3,1.0,1.0,1.0,37.590582,127.004273,1.0,0.0,0.0,41
270,4,0.0,1.0,1.0,37.56532,126.976609,1.0,0.0,0.0,69
271,1,1.0,1.0,1.0,37.565914,127.020706,0.0,1.0,0.0,45
273,4,1.0,1.0,2.0,37.598945,127.056218,0.0,1.0,0.0,42
274,3,1.0,1.0,2.0,37.599154,127.056029,0.0,1.0,0.0,36
277,4,1.0,1.0,2.0,37.535056,126.992068,0.0,1.0,0.0,60
278,3,1.0,1.0,2.0,37.534305,126.99177,0.0,1.0,0.0,60
279,8,2.0,2.0,3.0,37.517414,126.904053,1.0,0.0,0.0,309
280,4,1.0,1.0,1.0,37.518814,126.902096,1.0,0.0,0.0,99
282,5,1.0,1.0,1.0,37.582376,126.983505,0.0,1.0,0.0,174
283,4,1.0,1.0,1.0,37.581914,126.984932,0.0,1.0,0.0,174
284,2,1.0,1.0,1.0,37.581875,126.984728,0.0,1.0,0.0,88
290,2,1.0,1.0,2.0,37.508849,127.053844,0.0,1.0,0.0,60
291,2,1.0,1.0,2.0,37.518952,127.025996,0.0,1.0,0.0,52
295,4,2.0,1.0,1.0,37.580747,126.986048,1.0,0.0,0.0,180
296,2,1.0,1.0,1.0,37.581412,126.988087,0.0,1.0,0.0,70
297,10,3.0,1.0,3.0,37.57934,126.9735,1.0,0.0,0.0,92
310,3,1.0,1.0,1.0,37.498579,126.936969,0.0,1.0,0.0,39
311,1,1.0,1.0,2.0,37.507966,127.003849,0.0,1.0,0.0,43
312,1,1.0,1.0,2.0,37.508702,127.005663,0.0,1.0,0.0,43
314,6,1.0,1.0,1.0,37.528993,126.967303,1.0,0.0,0.0,131
315,10,3.0,2.0,2.0,37.555674,126.967583,1.0,0.0,0.0,180
316,3,1.0,1.0,1.0,37.565958,126.978777,0.0,1.0,0.0,35
322,2,1.0,1.0,1.0,37.516924,126.862038,1.0,0.0,0.0,69
323,6,3.0,2.0,2.0,37.522406,126.956763,1.0,0.0,0.0,83
324,6,2.0,1.0,1.0,37.582352,126.987149,1.0,0.0,0.0,201
325,2,1.0,1.0,3.0,37.513619,127.080229,0.0,1.0,0.0,33
327,2,1.0,1.0,3.0,37.512141,127.080608,0.0,1.0,0.0,43
329,2,1.0,1.0,1.0,37.558268,126.981053,0.0,1.0,0.0,43
332,8,2.0,1.0,1.0,37.558173,127.019487,1.0,0.0,0.0,102
334,4,1.0,1.0,1.0,37.580535,126.986783,0.0,1.0,0.0,113
350,1,1.0,1.0,1.0,37.535654,126.998864,0.0,1.0,0.0,22
353,2,1.0,0.0,3.0,37.455491,126.890446,0.0,1.0,0.0,27
354,4,1.0,1.0,1.0,37.555476,126.931637,1.0,0.0,0.0,57
355,3,1.0,1.0,1.0,37.567561,126.811829,0.0,1.0,0.0,18
356,5,0.0,1.0,1.0,37.53367,126.973256,1.0,0.0,0.0,57
360,6,3.0,2.0,1.0,37.578861,126.970394,1.0,0.0,0.0,234
361,2,1.0,2.0,1.0,37.517533,127.027462,0.0,1.0,0.0,53
363,4,1.0,1.0,2.0,37.557453,126.924963,1.0,0.0,0.0,67
